chembl_id,smiles,inchikey,n_groups,group_sizes
CHEMBL3310676,COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1cncnc1,WSHFHXKCJFRQKT-UHFFFAOYSA-N,8,3;2;1;1;1;1;1;1
CHEMBL7098,Cn1c2ccccc2n2c(=O)c(-c3ccco3)nnc12,GMLKSXNUABFTEI-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6989,Cc1c(C(=O)NC(CCC(=O)O)C(=O)O)ccc2nc(N)nc(O)c12,DELHTCXMMIFCPQ-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7011,Nc1nc(O)c2cc(C(=O)NC(CCC(=O)O)C(=O)O)ccc2n1,SSMOUEGPFAMXFY-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7079,Clc1ccc2ncc(N3CCNCC3)nc2c1,TYIPSMXKXQALRO-UHFFFAOYSA-N,8,2;2;2;2;1;1;1;1
CHEMBL7102,Nc1nc(N)c2c(Cl)c(NC(=O)Cc3cccc(C(F)(F)F)c3)ccc2n1,KHVPEHRXPMOLTO-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL4116165,NCc1ccc(-c2ccoc2)c(Cl)c1,QCBBLYZCXYKKFL-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7105,CC1CCc2nc(N)nc(O)c2C1,HZVJFZZXNQLMQB-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6943,CC(C)(C)OC(=O)C1=C(O)C(=O)N(Cc2cccs2)C1,WRRAQRHPSLHUMO-UHFFFAOYSA-N,8,9;1;1;1;1;1;1;1
CHEMBL7571,CC(C)(C)C1CCc2nc(N)nc(N)c2C1,ZNQWFSHAFZBMJV-UHFFFAOYSA-N,8,9;1;1;1;1;1;1;1
CHEMBL39,NCCc1c[nH]c2ccc(O)cc12,QZAYGJVTTNCVMB-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7576,CC(C)[C@H](NC(=O)c1ccccc1Br)C(=O)O,NUBVVMYRSWGRBI-JTQLQIEISA-N,8,3;3;1;1;1;1;1;1
CHEMBL7783,NC(=O)C1Cc2cc3c(-c4ccccc4F)noc3c(Cl)c2O1,GGTYGIGWNWSMMO-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7785,O=C(O)C1Cc2cc3c(-c4cccc(F)c4)noc3c(Cl)c2O1,TXTVKSJYASPLGA-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7787,CC12CCC(C)(O1)C(C(=O)O)C2C(=O)O,LOIACBOKCRBDOQ-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL449,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,ZRIHAIZYIMGOAB-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL3310882,ON=C(c1ccccc1O)c1ccccc1O,MKFXLOAJVWVPGD-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8016,N.N.O=C(CBr)c1cn(C2CC(O)C(OP(=O)(O)O)O2)c(=O)[nH]c1=O,XJANIVUFGRSRFY-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
