chembl_id,smiles,inchikey,n_groups,group_sizes
CHEMBL3310676,COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1cncnc1,WSHFHXKCJFRQKT-UHFFFAOYSA-N,8,3;2;1;1;1;1;1;1
CHEMBL3311212,O=P(O)(O)C(Nc1cccc2c(NC(P(=O)(O)O)P(=O)(O)O)cccc12)P(=O)(O)O,CAMMZUPTZBEGGL-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7888,NC(=O)c1ncn([C@H]2O[C@@H](CO)C[C@@H]2O)n1,XKNLIQRSVKDLAN-FOHZUACHSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8001,O=C1OC(=O)C2CC=CCC12,KMOUUZVZFBCRAM-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1163190,COC(=O)COc1ccccc1C,OMAUDUHRMMRHBV-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL7890,COC(=O)[C@@H](N)CCCNC(=N)N[N+](=O)[O-],KCWZGJVSDFYRIX-YFKPBYRVSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7891,NC1=NCCc2ccccc21,KFCJKQZKHMRYQF-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8301,COc1cc([N+](=O)[O-])c(OC)cc1CC(C)N,JQJRESSXOVAECC-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL7699,O=c1c(-c2cccc(Cl)c2)coc2cc(O)ccc12,RQYVHBZWMYJJAJ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8006,C=C1CC(C)(CC(C)(C)C)OC1=O,ZPSNUBGAVYBBSC-UHFFFAOYSA-N,8,9;3;1;1;1;1;1;1
CHEMBL580660,Clc1ccccc1CNc1noc(-c2sccc2Br)n1,PRXVKNGAZHJAPY-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL602115,Cc1nc(-c2c(Cl)cc(Cl)cc2-c2cnc([C@@H](C)NC(=O)N(C)O)c(F)c2)no1,WDZNDOBQLLBTGU-MRVPVSSYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL1076712,CCC(C)C(=O)c1c[nH]c(OC)c(OC)c1=O,FSOQXWGMTKOLCP-UHFFFAOYSA-N,8,3;3;3;3;1;1;1;1
CHEMBL534280,O=c1c(Br)c(C(F)(F)F)[nH]c2ccc(Oc3ccccc3)cc12,QWHRFEGNVCBEOD-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1077381,Cc1ncn2c1Cn1ncnc1-c1cc(Cl)ccc1-2,FVIWEOUHYRAQKY-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL572743,CN(C)CCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1,RKJBOGXNNPWZEW-UHFFFAOYSA-N,8,6;1;1;1;1;1;1;1
CHEMBL157397,CCc1ccc(N(O)C(C)=O)cc1,RQTIYOGWDGRMRI-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL603735,CC(=C\c1ccccc1)/C(C)=N/O,RPCAQDVUXPFSNA-CDKJVOIVSA-N,8,3;3;1;1;1;1;1;1
CHEMBL7340,O=C(O)C1Cc2cc3c(-c4ccc(F)cc4)noc3c(Cl)c2O1,ZBPJVMSUBNSCIQ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7427,Nc1nc(N)c2cc(CNC(=O)c3ccc(Cl)c(Cl)c3)ccc2n1,RRTMRKLLOHPKRG-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7547,Nc1ccc(C2NC(=O)c3cccnc3N2)cc1,VVONKCREWXTSKD-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL3310815,c1ccc(-c2nn3c(-c4ccco4)nnc3s2)cc1,AMSXPBLSQAXKBO-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL3310820,Cc1cccc(-c2nn3c(-c4ccco4)nnc3s2)c1,ZEDMWLCBAKQTSR-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL609468,Cc1ccccc1NC(=O)Nc1ccc([N+](=O)[O-])cc1O,JDKDJPABXADLJT-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL1075896,Nc1nccc(-c2cnc3ccccc3c2)n1,LIRFQZJUPJPPCX-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1077272,COC(=O)/C=C\C(=O)Nc1ccc(C)cc1,HMLIQUWSWQTYPI-FPLPWBNLSA-N,8,3;3;1;1;1;1;1;1
CHEMBL1171111,COC(=O)C1=C(C)Nc2n[nH]c(C)c2C1c1cccc(O)c1,VOPMDAKBODCVHG-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL1184808,C[n+]1c2cc(Cl)c(Cl)cc2cc2[nH]c3ccccc3c21,OCAQRIKVEUPKDU-UHFFFAOYSA-O,8,3;1;1;1;1;1;1;1
CHEMBL1162464,Nc1ncnc(=O)n1C[C@H]1COP(=O)(O)CO1,UAPFSERRGPQDPO-YFKPBYRVSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1229215,NCCCO/N=C/c1cc(=O)[nH]c(=O)[nH]1,SFSUPOJXVWUHPD-BJMVGYQFSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1187270,NC(CC(=O)O)C(O)C(O)C(N)CC(=O)O,SJDZSCFHDFZAHQ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1189963,Nc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc12,VTCCFNSRHBUEKC-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6616,COc1cc(CC(C)N)c(OC)cc1I,BGMZUEKZENQUJY-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6368,CC(N)Cc1ccc(I)cc1,VZPKOWYCGWOYRF-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
